Date,Agent Name,District,Area,Province,NLB Sales Ticket,DLB Sales Ticket,Total Sales Ticket,NLB LKR,DLB LKR,Total LKR
3/25/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7442,998,8440,297680,39920,337600
3/26/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,728,3547,4275,29120,141880,171000
3/27/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4686,7247,11933,187440,289880,477320
3/28/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7582,986,8568,303280,39440,342720
3/29/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6508,6704,13212,260320,268160,528480
3/30/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9791,3741,13532,391640,149640,541280
3/31/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,7124,5531,12655,284960,221240,506200
4/1/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1108,3154,4262,44320,126160,170480
4/2/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,766,5938,6704,30640,237520,268160
4/3/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9739,3686,13425,389560,147440,537000
4/4/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2501,4855,7356,100040,194200,294240
4/5/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4919,8697,13616,196760,347880,544640
4/6/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,2054,6218,8272,82160,248720,330880
4/7/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6923,5606,12529,276920,224240,501160
4/8/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6249,9320,15569,249960,372800,622760
4/9/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,768,3733,4501,30720,149320,180040
4/10/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9234,6272,15506,369360,250880,620240
4/11/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1948,6843,8791,77920,273720,351640
4/19/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,1505,2402,3907,60200,96080,156280
4/20/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,4662,9307,13969,186480,372280,558760
4/21/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,9237,9643,18880,369480,385720,755200
4/22/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,6465,3142,9607,258600,125680,384280
4/23/2024,Nimal Abesekara,Hambantota,Hambantota,Southern,3178,5772,8950,127120,230880,358000
